time,name,value,error
0,Intercept,-493.670311832706,15.0091156959471
0,B1,1.88014114241903,0.0571819553490496
0,B2,-0.00178751953413343,5.44584172923667E-5
5,Intercept,-487.371446287611,14.9885949259918
5,B1,1.85606332714552,0.0571037750101755
5,B2,-0.00176454666077352,5.43839606304272E-5
10,Intercept,-467.30259838795,14.261425484958
10,B1,1.77959148400808,0.0543333939064028
10,B2,-0.00169179566563845,5.17455309144933E-5
15,Intercept,-450.647311990358,13.8657238931639
15,B1,1.71613250464777,0.0528258440139312
15,B2,-0.00163143962848662,5.03097846089999E-5
20,Intercept,-429.897923367624,13.2873856817537
20,B1,1.6370967296218,0.0506224823734823
20,B2,-0.00155626934984868,4.82113676008877E-5
25,Intercept,-419.140903767356,12.9118950639194
25,B1,1.59625860165473,0.0491919325544291
25,B2,-0.00151755196815907,4.68489539071277E-5
30,Intercept,-407.659487259658,12.7398155958473
30,B1,1.55242819711387,0.0485363416016292
30,B2,-0.00147577841663311,4.62245883102756E-5
35,Intercept,-401.083645494708,12.5449883063763
35,B1,1.52731963674228,0.0477940856557766
35,B2,-0.00145185021377295,4.55176855156748E-5
40,Intercept,-384.116196677267,12.0379661484228
40,B1,1.46265128276898,0.0458624249913908
40,B2,-0.0013903265516764,4.36780285489579E-5
50,Intercept,-372.80536480854,11.6054493993148
50,B1,1.4195909917472,0.0442146161573311
50,B2,-0.00134940807902408,4.21087037408869E-5
60,Intercept,-362.942312967942,11.4131601123247
60,B1,1.38206100206703,0.0434820295316088
60,B2,-0.00131376013563611,4.14110097232049E-5
70,Intercept,-354.479503834686,11.1146430010464
70,B1,1.34985835604014,0.0423447345387632
70,B2,-0.00128316600324626,4.03278833256056E-5
80,Intercept,-345.819039485788,10.7772153802624
80,B1,1.31688445201531,0.0410591976999461
80,B2,-0.00125182809966371,3.91035757414093E-5
90,Intercept,-340.541154467464,10.593510052247
90,B1,1.29678668008544,0.0403593143705906
90,B2,-0.00123271782397445,3.84370273840936E-5
